loss,val_loss,recall,val_recall,precision,val_precision
0.9744640101731658,0.8319396651437334,"[0.72549784, 0.44496393, 0.046753246, 0.594127]","[0.7826263, 0.5703367, 0.17373738, 0.67794615]","[0.6236681, 0.50561595, 0.6315789, 0.5662243]","[0.69919384, 0.6085285, 0.44215938, 0.67515004]"
0.8934154425627566,0.7960379012679789,"[0.72874457, 0.4933766, 0.08102453, 0.61072874]","[0.81065655, 0.55099326, 0.26565656, 0.6716498]","[0.64305085, 0.53327197, 0.6113228, 0.5939223]","[0.6763062, 0.6302159, 0.47934386, 0.6912588]"
0.8623583655929793,0.7749407699200906,"[0.7328956, 0.5136893, 0.11702742, 0.6218326]","[0.7807744, 0.57271606, 0.3426487, 0.6861953]","[0.65459317, 0.5475623, 0.6014833, 0.6079798]","[0.70238477, 0.62273014, 0.41162196, 0.6963157]"
0.8416428485902463,0.7504573903144276,"[0.7372042, 0.52576476, 0.14235209, 0.6296862]","[0.7879461, 0.5812458, 0.35117844, 0.686069]","[0.6629693, 0.5570645, 0.59391934, 0.6171909]","[0.7052406, 0.62477493, 0.44898838, 0.7042503]"
0.8259361135771419,0.7306945982950276,"[0.74049926, 0.5338759, 0.16242424, 0.6359509]","[0.78862625, 0.5833535, 0.38020203, 0.69554883]","[0.66919565, 0.56408066, 0.5917359, 0.6237584]","[0.71385205, 0.63032436, 0.46362293, 0.70416474]"
0.8124741935502712,0.7368079726069731,"[0.7434825, 0.5401443, 0.17777778, 0.6415945]","[0.7957351, 0.57273847, 0.38569024, 0.7086813]","[0.6745437, 0.5698005, 0.59216535, 0.6291225]","[0.7142893, 0.63926995, 0.48627424, 0.7011543]"
0.8011032108895509,0.7256202818185111,"[0.7460606, 0.545972, 0.18987837, 0.6461431]","[0.80157286, 0.57200575, 0.4037518, 0.70948535]","[0.67904246, 0.57468987, 0.59491056, 0.633872]","[0.7132945, 0.64504933, 0.47919163, 0.70580184]"
0.7903684041206773,0.6986049269432819,"[0.7488095, 0.5507558, 0.20110029, 0.65017855]","[0.80444866, 0.5733586, 0.4185606, 0.7144024]","[0.683331, 0.57867604, 0.5973852, 0.63820416]","[0.7183657, 0.6489151, 0.49055395, 0.70643413]"
0.7839821791378984,0.714655397872779,"[0.75104856, 0.555004, 0.21160814, 0.6536091]","[0.80975306, 0.57045645, 0.4288814, 0.71905726]","[0.6868793, 0.582365, 0.6004276, 0.6418516]","[0.7192316, 0.6553053, 0.48805824, 0.70791024]"
0.7759949226339623,0.7177692605875033,"[0.75303894, 0.55880374, 0.22105339, 0.6567302]","[0.8158721, 0.56696296, 0.433367, 0.7200236]","[0.69019896, 0.58562684, 0.6029678, 0.6450577]","[0.71779513, 0.65891874, 0.4948862, 0.70913815]"
0.7681050056639902,0.709645073485507,"[0.75494295, 0.56237704, 0.23057851, 0.6595553]","[0.82140803, 0.5646495, 0.4309458, 0.7240404]","[0.69313204, 0.5887313, 0.60566485, 0.6482001]","[0.71675175, 0.66472924, 0.5063842, 0.71023357]"
0.7630248593634212,0.6951417176776499,"[0.7565993, 0.5655063, 0.23923762, 0.66200215]","[0.8200449, 0.56595397, 0.43633556, 0.7297559]","[0.6956958, 0.59146947, 0.6080937, 0.65092945]","[0.7209488, 0.66758674, 0.50729084, 0.7093453]"
0.7584653167469643,0.6790365431253242,"[0.75811964, 0.56846154, 0.24624264, 0.6642369]","[0.81908053, 0.5704662, 0.43359232, 0.73235947]","[0.6980141, 0.59399563, 0.6101378, 0.6534426]","[0.7241612, 0.66819465, 0.5185701, 0.7099468]"
0.7531701542807719,0.6650705822148697,"[0.7596691, 0.57111007, 0.25312307, 0.6662554]","[0.8204882, 0.5724483, 0.43922558, 0.7349543]","[0.70011264, 0.5963585, 0.6117325, 0.6558325]","[0.72627044, 0.6708076, 0.52714676, 0.7110773]"
