loss,val_loss,recall,val_recall,precision,val_precision
0.917046847746846,0.9045300366068317,"[0.7616883, 0.494228, 0.061760463, 0.6242857]","[0.87828285, 0.59626263, 0.11851852, 0.4259596]","[0.6523109, 0.53387165, 0.70163935, 0.6256761]","[0.5806861, 0.5693663, 0.787472, 0.8110135]"
0.8303823838959785,0.8202604844058198,"[0.7676191, 0.5295527, 0.10454545, 0.64419913]","[0.83267677, 0.57023567, 0.20723906, 0.56239057]","[0.6719933, 0.557263, 0.6959654, 0.6491308]","[0.6377127, 0.58863807, 0.40466797, 0.72629637]"
0.7962527346905761,0.7598676009879003,"[0.77262145, 0.5458538, 0.14612794, 0.6574218]","[0.8235129, 0.6050393, 0.26161617, 0.5811672]","[0.685276, 0.5722188, 0.65743345, 0.65980524]","[0.6656295, 0.5936853, 0.45976332, 0.73866653]"
0.772471681206149,0.7744431558108479,"[0.77594876, 0.5562085, 0.17907648, 0.66712844]","[0.82984847, 0.5897643, 0.31085858, 0.607702]","[0.69589794, 0.5820633, 0.63878524, 0.66622716]","[0.6766694, 0.6070141, 0.41569114, 0.7345923]"
0.754427150801814,0.7655749093686813,"[0.77898127, 0.56452525, 0.20481962, 0.6744416]","[0.83373064, 0.57533336, 0.33353534, 0.6293131]","[0.70432484, 0.58970827, 0.6298926, 0.6716271]","[0.68237257, 0.616749, 0.4245671, 0.72603464]"
0.7411709806732312,0.7240727251192361,"[0.7818783, 0.5715584, 0.22609428, 0.6796801]","[0.8397587, 0.5751178, 0.3589787, 0.64098203]","[0.71123385, 0.59582865, 0.6281152, 0.676022]","[0.6875678, 0.6268027, 0.44153783, 0.7285466]"
0.7298666812548298,0.7251723011990567,"[0.784261, 0.57744795, 0.24359925, 0.6844321]","[0.84291005, 0.56943244, 0.37662336, 0.6554834]","[0.71710366, 0.60105395, 0.62619895, 0.67986184]","[0.6920449, 0.6354195, 0.4581895, 0.7253725]"
0.719654523308944,0.7305707885748484,"[0.78642493, 0.58224386, 0.2592352, 0.6879978]","[0.8464478, 0.5650631, 0.39250842, 0.66593015]","[0.7218073, 0.6053042, 0.6268318, 0.683067]","[0.69361347, 0.6438138, 0.4719158, 0.72478205]"
0.7110510311880955,0.7031147693742722,"[0.7884271, 0.5869184, 0.2723104, 0.6910502]","[0.84749347, 0.56682, 0.40710813, 0.67412645]","[0.7260778, 0.60909665, 0.6268778, 0.6861775]","[0.6985784, 0.6490556, 0.48274332, 0.7254917]"
0.7030422914887525,0.7191709096830201,"[0.790202, 0.59117174, 0.2839827, 0.69380665]","[0.8495623, 0.56898314, 0.42104378, 0.6764276]","[0.72962326, 0.6127277, 0.62883437, 0.6889887]","[0.7008344, 0.65213096, 0.4872584, 0.7282221]"
