loss,val_loss,recall,val_recall,precision,val_precision
0.8811866947146516,0.8114128539635126,"[0.7689899, 0.5064791, 0.0989899, 0.65691197]","[0.89023566, 0.5728283, 0.4016835, 0.5541751]","[0.6814706, 0.5506676, 0.6441315, 0.6338095]","[0.64678687, 0.6171957, 0.440059, 0.7869472]"
0.7725151775669477,0.7305673332658388,"[0.7778499, 0.546746, 0.19516595, 0.6768398]","[0.8515152, 0.5556229, 0.4547138, 0.66643095]","[0.70540124, 0.58004194, 0.61157584, 0.6617616]","[0.6969054, 0.6476198, 0.4538733, 0.7243682]"
0.7344051797918383,0.7307972510379582,"[0.7847523, 0.5669457, 0.25151515, 0.6884656]","[0.8606061, 0.5596072, 0.48170593, 0.671257]","[0.719388, 0.59713256, 0.6180121, 0.6756322]","[0.697224, 0.6567744, 0.47493637, 0.7358753]"
0.7092068645795755,0.6697181314126412,"[0.790101, 0.5809776, 0.28665224, 0.69661254]","[0.8555976, 0.5742593, 0.48880473, 0.68919194]","[0.729222, 0.60876745, 0.6190884, 0.6857353]","[0.7113663, 0.6650225, 0.50303185, 0.73587805]"
0.6926815459282227,0.659463985698185,"[0.7942857, 0.5911313, 0.31405485, 0.7028167]","[0.84933335, 0.58308417, 0.50848484, 0.70358247]","[0.7367452, 0.61749375, 0.62232643, 0.69302636]","[0.7239883, 0.6695742, 0.5141982, 0.7350795]"
0.679259665503472,0.6625374784748781,"[0.79760945, 0.5992785, 0.33631554, 0.70714045]","[0.8415208, 0.5914029, 0.4993266, 0.71732324]","[0.74257696, 0.6238936, 0.6266637, 0.69897896]","[0.7350427, 0.6719288, 0.52788323, 0.7316692]"
0.6677728628860118,0.6617531745983877,"[0.8004205, 0.6055164, 0.35481343, 0.7114286]","[0.8449158, 0.59362674, 0.5092352, 0.72216934]","[0.7474158, 0.6294635, 0.6316794, 0.7037183]","[0.73687613, 0.6781342, 0.53502125, 0.7347941]"
0.6584273821582459,0.645575504157177,"[0.8029185, 0.6110119, 0.3707251, 0.71482146]","[0.8431692, 0.59874576, 0.5219697, 0.7283123]","[0.75148815, 0.6342732, 0.63627636, 0.7077642]","[0.74279493, 0.6820795, 0.5394285, 0.7354595]"
0.6500219719499429,0.6831739318296262,"[0.8051948, 0.61563414, 0.38404682, 0.7181145]","[0.8475533, 0.5911785, 0.5258885, 0.7350393]","[0.7550472, 0.638686, 0.6397874, 0.7112517]","[0.7419533, 0.68805736, 0.5459877, 0.73345876]"
0.6425532991327911,0.6472795253478462,"[0.8070736, 0.61986727, 0.39565656, 0.7208745]","[0.84531987, 0.5973737, 0.53124577, 0.7370976]","[0.75823987, 0.6423658, 0.64320064, 0.7143689]","[0.74589264, 0.68965787, 0.5488382, 0.73436785]"
0.6358831786207404,0.6386678405131956,"[0.80879706, 0.62365603, 0.4056277, 0.72335565]","[0.8461371, 0.59784204, 0.53777164, 0.74269056]","[0.76107675, 0.6458152, 0.64650416, 0.71699643]","[0.7478884, 0.69405353, 0.556157, 0.73492956]"
0.6291129649182604,0.6457658772815674,"[0.8105616, 0.6272439, 0.41503125, 0.72569984]","[0.8438075, 0.6023906, 0.53658813, 0.7466302]","[0.7636939, 0.64915156, 0.6495041, 0.7195985]","[0.7527942, 0.69492656, 0.55973774, 0.734587]"
0.6233606371525892,0.6408677275102945,"[0.8120191, 0.63035965, 0.42374292, 0.7277667]","[0.8457524, 0.6021652, 0.54447037, 0.7488578]","[0.766006, 0.6520722, 0.65208477, 0.72181445]","[0.7534721, 0.69829106, 0.5563878, 0.73610324]"
