loss,val_loss,recall,val_recall,precision,val_precision
0.8869289115386454,0.8216538383904392,"[0.7653824, 0.5149062, 0.046320345, 0.6500433]","[0.83781147, 0.45912457, 0.15117845, 0.7320202]","[0.6821467, 0.54162806, 0.6715481, 0.63703597]","[0.677199, 0.62450194, 0.6875957, 0.6620683]"
0.7908387978072674,0.8148154226896082,"[0.77576476, 0.55207795, 0.10793651, 0.66862196]","[0.85747474, 0.5053872, 0.2959596, 0.6511448]","[0.70218253, 0.566947, 0.6760054, 0.6649851]","[0.6678993, 0.61593384, 0.4089323, 0.70526236]"
0.7535742869645596,0.8166154126188173,"[0.7826551, 0.5673208, 0.16782106, 0.6810582]","[0.84251404, 0.5051403, 0.4198653, 0.6578339]","[0.713971, 0.58329046, 0.6371439, 0.67777854]","[0.680315, 0.6367585, 0.28465986, 0.71442676]"
0.7299207821821293,0.8116108358859022,"[0.7874495, 0.57761544, 0.21367244, 0.6901948]","[0.8490236, 0.49805555, 0.4564815, 0.6675758]","[0.72307926, 0.59566146, 0.6259776, 0.68530226]","[0.6792783, 0.6526617, 0.30201605, 0.71333617]"
0.7127516961520294,0.7447803030314754,"[0.7914315, 0.5850476, 0.24519481, 0.69731027]","[0.847266, 0.5218586, 0.47340068, 0.6681751]","[0.73036724, 0.6049959, 0.62250876, 0.69042194]","[0.68870217, 0.65301585, 0.32853538, 0.72116756]"
0.6998359700700943,0.7583392336912831,"[0.7946392, 0.59104615, 0.26972103, 0.70295334]","[0.84853536, 0.5386476, 0.49399552, 0.6599327]","[0.7363132, 0.6123564, 0.62194985, 0.69446707]","[0.6924599, 0.6525111, 0.3387072, 0.73061174]"
0.6884709892260166,0.7684584732702658,"[0.7973655, 0.5964832, 0.29080603, 0.70736754]","[0.85212123, 0.5362915, 0.4959596, 0.6692304]","[0.74120873, 0.61854607, 0.62425876, 0.6980686]","[0.6934784, 0.6602416, 0.35390425, 0.7283497]"
0.6779983052370766,0.7062173139684477,"[0.79983765, 0.6013456, 0.30739537, 0.71123195]","[0.8469234, 0.540181, 0.5077862, 0.68295455]","[0.7455224, 0.6238557, 0.6246381, 0.7014017]","[0.70233077, 0.6643735, 0.36779052, 0.7242418]"
0.6694101757295863,0.7139631158842487,"[0.8018262, 0.6059468, 0.32166106, 0.71462405]","[0.8475009, 0.54657686, 0.5129443, 0.6881407]","[0.7491817, 0.6285209, 0.6275651, 0.7044854]","[0.7062266, 0.6679346, 0.38231602, 0.72628343]"
0.6629103597942689,0.7100608486467306,"[0.8036075, 0.6100577, 0.33378068, 0.7174574]","[0.8457172, 0.5516431, 0.5290236, 0.6920505]","[0.75245774, 0.63249815, 0.62980914, 0.70719945]","[0.71190536, 0.67062616, 0.3834159, 0.72734]"
0.6558099869801809,0.7793835215555288,"[0.8051738, 0.6137177, 0.3447724, 0.7199462]","[0.8455525, 0.55559534, 0.5390266, 0.68861955]","[0.7553763, 0.63594013, 0.632798, 0.70963085]","[0.71322495, 0.6698614, 0.3806909, 0.72989064]"
0.6503583498483333,0.7554918058304592,"[0.8066835, 0.616835, 0.3543771, 0.72221744]","[0.8461251, 0.5618182, 0.54088104, 0.6864759]","[0.7579825, 0.639083, 0.635143, 0.71170783]","[0.714329, 0.66988957, 0.38900998, 0.73201966]"
0.6449088627360994,0.7836998716731963,"[0.80802196, 0.61996335, 0.36315906, 0.724359]","[0.8491919, 0.5639368, 0.54472935, 0.6839368]","[0.7603961, 0.6420351, 0.63791996, 0.7137833]","[0.7125567, 0.67178416, 0.3927471, 0.7353463]"
0.640471722732032,0.7398703300741665,"[0.8091589, 0.6227881, 0.3709132, 0.72622037]","[0.84761906, 0.5699735, 0.5376623, 0.68489176]","[0.76256037, 0.6446519, 0.6404228, 0.7155651]","[0.7145232, 0.67072034, 0.40080318, 0.7366104]"
0.634533496122471,0.7474646199238308,"[0.8103367, 0.6255556, 0.3784608, 0.72788745]","[0.848725, 0.5751111, 0.53483725, 0.6828754]","[0.76454073, 0.64707685, 0.6432788, 0.7174654]","[0.71522313, 0.67062074, 0.40640298, 0.7389152]"
0.6306439864607059,0.7498375825309521,"[0.81144303, 0.6281683, 0.38499278, 0.72953826]","[0.8461469, 0.57627314, 0.53815234, 0.6881608]","[0.7664174, 0.64943725, 0.6452237, 0.71922916]","[0.71901244, 0.67208153, 0.40809715, 0.7368931]"
0.6254011326987438,0.8253685717960876,"[0.81248283, 0.63063407, 0.39103642, 0.73099655]","[0.8499228, 0.5738443, 0.53707665, 0.68696177]","[0.7681479, 0.6516202, 0.6471588, 0.720857]","[0.71479183, 0.6747022, 0.41238195, 0.7385113]"
0.6216041525542327,0.7253148137611842,"[0.8134375, 0.63291484, 0.39703384, 0.73232484]","[0.84841377, 0.5770352, 0.5426674, 0.6895193]","[0.76977503, 0.65360934, 0.64936805, 0.722357]","[0.71744573, 0.675708, 0.4148162, 0.73930407]"
0.6176794812655854,0.8661986813000957,"[0.8143366, 0.6350535, 0.40239236, 0.7337351]","[0.85021263, 0.57841045, 0.54091793, 0.6866596]","[0.77130085, 0.6555767, 0.6512088, 0.7238062]","[0.71446866, 0.6760879, 0.42087555, 0.7415654]"
0.6128707469521728,0.7542056275105791,"[0.8152489, 0.63719046, 0.40769842, 0.7349914]","[0.8516751, 0.5791397, 0.54372054, 0.68719864]","[0.7727742, 0.6574417, 0.6527243, 0.7252884]","[0.71435326, 0.6777888, 0.42336178, 0.74301076]"
0.6105494876773648,0.7683588679442396,"[0.81601596, 0.63909227, 0.41267094, 0.7362214]","[0.8521757, 0.57876545, 0.54715407, 0.6898685]","[0.7740897, 0.6591868, 0.6543616, 0.72658896]","[0.7148552, 0.68045, 0.42473802, 0.74297637]"
0.6058107182707572,0.7583059971741788,"[0.8168267, 0.6410193, 0.41776204, 0.7373514]","[0.85245025, 0.5789088, 0.5481635, 0.69221455]","[0.775395, 0.660879, 0.6561315, 0.72792697]","[0.7163374, 0.6821832, 0.42372942, 0.74271196]"
0.6034736768862731,0.7804964548281036,"[0.8176241, 0.642763, 0.42268023, 0.7384497]","[0.85367006, 0.5753726, 0.5512077, 0.6963417]","[0.7765917, 0.66251934, 0.6576245, 0.729182]","[0.71709716, 0.685383, 0.4231958, 0.74094015]"
0.6003764097467575,0.8328823322498856,"[0.81833994, 0.64447874, 0.42715248, 0.7394709]","[0.85540825, 0.5742368, 0.55176765, 0.6965825]","[0.77775383, 0.66404223, 0.65923095, 0.73035467]","[0.7158749, 0.68716264, 0.42349064, 0.7417293]"
0.5963677196300985,0.7790258954472637,"[0.81903374, 0.6461027, 0.4316883, 0.7404895]","[0.8561212, 0.5749603, 0.5519461, 0.69767004]","[0.778859, 0.66549444, 0.66087, 0.7315383]","[0.7161414, 0.6886568, 0.42461795, 0.7424798]"
0.5930879352381799,0.7585966512405516,"[0.8197075, 0.64772505, 0.43591964, 0.74138916]","[0.85657215, 0.5767975, 0.5554131, 0.6971238]","[0.7799392, 0.66684705, 0.66228205, 0.73269546]","[0.7168356, 0.68908364, 0.42351142, 0.7440988]"
0.5905706523197692,0.7748271523870637,"[0.8204244, 0.6491957, 0.43989098, 0.7423665]","[0.85598207, 0.5770595, 0.55780023, 0.6989076]","[0.780903, 0.6682654, 0.66370463, 0.7338188]","[0.7179929, 0.69055444, 0.42026043, 0.7439628]"
0.5868306274495027,0.8078761629351234,"[0.82106835, 0.650705, 0.44371778, 0.7433055]","[0.8570298, 0.57711643, 0.5584175, 0.6990957]","[0.78190535, 0.6696253, 0.66504717, 0.73489195]","[0.71713865, 0.6919406, 0.42177254, 0.7449243]"
0.5845981534922233,0.7973492862740849,"[0.82170326, 0.652165, 0.44737026, 0.74421006]","[0.8570579, 0.57709163, 0.55957276, 0.69997096]","[0.7828676, 0.6709545, 0.6660839, 0.7359432]","[0.7176785, 0.69304776, 0.41903734, 0.7449932]"
0.580898556524279,0.76834275924534,"[0.82229584, 0.65360075, 0.45094275, 0.7451]","[0.85796183, 0.5767912, 0.5599663, 0.7014164]","[0.7838153, 0.6722292, 0.6674664, 0.7369514]","[0.7180359, 0.6945132, 0.42021173, 0.7451005]"
