loss,val_loss,recall,val_recall,precision,val_precision
0.878553050222019,0.7639114866453878,"[0.77060604, 0.51704186, 0.1025974, 0.64802307]","[0.83555555, 0.48434344, 0.4872054, 0.749798]","[0.6787366, 0.5548742, 0.6365264, 0.6373726]","[0.71920013, 0.67892206, 0.3972001, 0.68030185]"
0.763244943850304,0.7256808832360275,"[0.7841991, 0.5515873, 0.2018759, 0.67511547]","[0.8538384, 0.5493771, 0.50420874, 0.6973064]","[0.70767707, 0.5864934, 0.60720485, 0.663088]","[0.7136646, 0.6664556, 0.4411548, 0.7226225]"
0.729606401052083,0.7085004484719746,"[0.79037035, 0.56972104, 0.25622895, 0.68806636]","[0.86584735, 0.56632996, 0.5237935, 0.68242425]","[0.72222614, 0.6021698, 0.6086609, 0.67627466]","[0.7069081, 0.670075, 0.4686684, 0.743198]"
0.7049461223644482,0.6642767301630527,"[0.79426765, 0.5829365, 0.2934704, 0.6963167]","[0.85835016, 0.5698401, 0.52079123, 0.70807236]","[0.73231906, 0.612357, 0.613453, 0.6856121]","[0.72054833, 0.67878234, 0.49967694, 0.73373455]"
0.6888753501723344,0.6633948923565598,"[0.7975382, 0.592658, 0.3212121, 0.70242137]","[0.84048486, 0.5905455, 0.52680135, 0.71725255]","[0.73961556, 0.6200812, 0.61943454, 0.6926858]","[0.7359024, 0.67387444, 0.5191108, 0.7318451]"
0.6756873435213483,0.6430938875327266,"[0.80027175, 0.6002934, 0.34309766, 0.70721984]","[0.8446633, 0.5947587, 0.53984284, 0.7216947]","[0.7451023, 0.6262297, 0.6257292, 0.6984597]","[0.7393096, 0.6798289, 0.5275569, 0.73619556]"
0.6644329527126098,0.6942647081994613,"[0.8024655, 0.6070398, 0.3603793, 0.71162236]","[0.8457047, 0.5944012, 0.54160655, 0.7249928]","[0.75000966, 0.631491, 0.6309369, 0.7034194]","[0.73804086, 0.683046, 0.5304565, 0.73843306]"
0.6544550575065158,0.6184350024647312,"[0.804623, 0.61252165, 0.37624457, 0.7152363]","[0.8462584, 0.6027904, 0.5441919, 0.7282407]","[0.7540281, 0.63619536, 0.6358676, 0.7074952]","[0.7426061, 0.68513983, 0.5461688, 0.74236315]"
0.6448566543938754,0.6251276517966458,"[0.80650955, 0.6176479, 0.38959435, 0.7185714]","[0.8474373, 0.6116835, 0.5466517, 0.72687244]","[0.7575112, 0.64060044, 0.6404924, 0.7112322]","[0.74438477, 0.6863962, 0.555695, 0.7477841]"
0.6382079074114322,0.6136887901520215,"[0.80820346, 0.62203175, 0.4008658, 0.7215411]","[0.84774745, 0.6179529, 0.5552189, 0.72908753]","[0.7605242, 0.6444142, 0.6440843, 0.714537]","[0.7483971, 0.68892616, 0.5617824, 0.7505242]"
0.6311322814710871,0.6224804284197328,"[0.8099672, 0.62601995, 0.41154402, 0.7240627]","[0.8486195, 0.6193878, 0.56351393, 0.73247933]","[0.7632746, 0.6478882, 0.6487582, 0.7175023]","[0.7507833, 0.69243354, 0.55889493, 0.75176]"
0.6257293806354454,0.6187047642125613,"[0.8114634, 0.6296368, 0.42027417, 0.726562]","[0.8461757, 0.62471944, 0.56531984, 0.7366526]","[0.76577914, 0.6512124, 0.65093493, 0.720146]","[0.7558131, 0.6938212, 0.5655261, 0.7516283]"
0.6188748167283413,0.6057860960638962,"[0.812896, 0.63312685, 0.42886004, 0.72878677]","[0.8472287, 0.6284149, 0.5691013, 0.73770785]","[0.76812255, 0.65425116, 0.6537505, 0.7227172]","[0.7574351, 0.69583184, 0.57006097, 0.75391275]"
0.6148361339521508,0.6298638746152743,"[0.81416, 0.6362224, 0.43617812, 0.7307473]","[0.8483478, 0.62887686, 0.5715007, 0.7400024]","[0.7702429, 0.65690666, 0.65621513, 0.7249467]","[0.7581729, 0.69816256, 0.5736668, 0.75458044]"
0.6100040568210271,0.5961398889904141,"[0.81527656, 0.6389707, 0.44301108, 0.73260796]","[0.84719414, 0.63347477, 0.575376, 0.74217284]","[0.772166, 0.65932375, 0.6584358, 0.7269692]","[0.7615148, 0.6991787, 0.5789759, 0.7557129]"
0.60544164386895,0.6029854003673961,"[0.8163086, 0.64161164, 0.44919732, 0.7343362]","[0.84703916, 0.6359638, 0.5792298, 0.7444676]","[0.7739077, 0.66161585, 0.6603776, 0.7289232]","[0.7639108, 0.7007947, 0.5786088, 0.7568929]"
