loss,val_loss,recall,val_recall,precision,val_precision
0.8474681919836238,0.7591827147076575,"[0.77760464, 0.5476479, 0.1, 0.66030306]","[0.72262627, 0.65939397, 0.4003367, 0.6940404]","[0.7045933, 0.5563586, 0.65749526, 0.6624059]","[0.7880301, 0.5843005, 0.4272368, 0.72237605]"
0.7370664304411407,0.7028676639463108,"[0.7882612, 0.5781818, 0.202886, 0.6872006]","[0.78175086, 0.6052525, 0.40084174, 0.73013467]","[0.7266965, 0.58997273, 0.6178862, 0.6855337]","[0.7606723, 0.6281032, 0.5088694, 0.7089381]"
0.6987307700757154,0.6804176645613611,"[0.79510343, 0.5938432, 0.26488698, 0.7017412]","[0.79117846, 0.61401796, 0.39741862, 0.7370707]","[0.73928213, 0.6091616, 0.6177229, 0.69703066]","[0.7645687, 0.6376638, 0.56179595, 0.71453595]"
0.6734604050547088,0.6961445485638446,"[0.79992783, 0.6059019, 0.3060606, 0.7111039]","[0.820505, 0.59627104, 0.41102692, 0.73229796]","[0.7484844, 0.6216701, 0.6258945, 0.7056461]","[0.73983335, 0.65443176, 0.5829056, 0.7255373]"
0.6516875959522213,0.6816424014690107,"[0.8039913, 0.61530733, 0.33691198, 0.71829146]","[0.8323973, 0.5922559, 0.42801347, 0.7356027]","[0.75572115, 0.6315116, 0.6325314, 0.7122217]","[0.736161, 0.6661365, 0.5940742, 0.72966707]"
0.6356801407693006,0.6366082026032295,"[0.8074074, 0.6236051, 0.36173642, 0.7241126]","[0.83497757, 0.5987486, 0.44725028, 0.7394276]","[0.761674, 0.6398396, 0.6375466, 0.7179449]","[0.7425912, 0.6722765, 0.60114646, 0.7317]"
0.6222575117531794,0.624906072130296,"[0.8103443, 0.63038135, 0.38245723, 0.729194]","[0.8329726, 0.60675323, 0.46546417, 0.7460462]","[0.7666256, 0.6467029, 0.643531, 0.72284764]","[0.75050056, 0.6772905, 0.6011306, 0.73370135]"
0.6091070907844615,0.6172519129667952,"[0.8128932, 0.6364538, 0.39965728, 0.73338205]","[0.83286613, 0.6094655, 0.48792088, 0.7523148]","[0.7709512, 0.6525679, 0.6476004, 0.72714543]","[0.7561154, 0.68336433, 0.59268916, 0.73446023]"
0.5996523040868642,0.6134449032816811,"[0.8151916, 0.6416434, 0.41542408, 0.73715246]","[0.83367753, 0.6113767, 0.49951366, 0.7580658]","[0.7747286, 0.65769726, 0.6520864, 0.7309586]","[0.75977236, 0.6887264, 0.5975921, 0.73495317]"
0.5902549240484031,0.6169170641584311,"[0.81725395, 0.646417, 0.4297114, 0.7405541]","[0.8375421, 0.61859936, 0.50656563, 0.75471044]","[0.7779725, 0.66250646, 0.65635884, 0.73444015]","[0.7607964, 0.6904737, 0.6042169, 0.74036187]"
0.5822541717620773,0.6071631620334536,"[0.81911844, 0.6507241, 0.4421094, 0.7434947]","[0.8354178, 0.624573, 0.5176309, 0.75684726]","[0.7809226, 0.6666698, 0.6594916, 0.7376164]","[0.7655312, 0.6917327, 0.60044736, 0.74230564]"
0.5740855909153788,0.6164688426972761,"[0.820766, 0.6547715, 0.45329484, 0.74613154]","[0.834986, 0.62953424, 0.52109987, 0.75809205]","[0.78360236, 0.6704756, 0.6625888, 0.74051625]","[0.7685587, 0.69313157, 0.60379076, 0.74394375]"
0.5662552414282752,0.6399673075415842,"[0.82238984, 0.65841156, 0.46369186, 0.7486791]","[0.8397721, 0.63337994, 0.5227661, 0.752015]","[0.7860554, 0.67413086, 0.6651805, 0.74319077]","[0.76443714, 0.69453144, 0.6102125, 0.7491473]"
0.5591572945605157,0.6076399271814587,"[0.8238868, 0.66183674, 0.47313955, 0.7511194]","[0.8404738, 0.63372535, 0.5286436, 0.75623137]","[0.7884131, 0.6775184, 0.6678888, 0.7456679]","[0.7665055, 0.69810814, 0.61487037, 0.74893117]"
