loss,val_loss,recall,val_recall
0.8549311697252243,0.7493018158158136,"[0.7577345, 0.5698701, 0.14025974, 0.6631457]","[0.75939393, 0.6709091, 0.23804714, 0.673266]"
0.7380925926701952,0.7114335806565288,"[0.77916306, 0.5905916, 0.21861471, 0.6868398]","[0.8012963, 0.61351854, 0.306734, 0.7045791]"
0.6938688122501748,0.7547962255905368,"[0.7897595, 0.6053343, 0.27239057, 0.70107263]","[0.7599888, 0.59855217, 0.33367002, 0.7443771]"
0.6589371892342015,0.6538053951054666,"[0.79755414, 0.618153, 0.3147186, 0.7108261]","[0.7654293, 0.6340488, 0.36776096, 0.72834176]"
0.6286683427477863,0.6615511392080758,"[0.80363345, 0.6284704, 0.35021645, 0.718531]","[0.7752054, 0.64880806, 0.37326598, 0.7209764]"
0.5987893337467649,0.6317239101559359,"[0.8089851, 0.63848007, 0.38083214, 0.72532946]","[0.7891302, 0.659018, 0.39455667, 0.7129798]"
0.568886487300033,0.6731273251701512,"[0.8143661, 0.6479118, 0.410101, 0.7316739]","[0.796633, 0.661948, 0.399038, 0.7117172]"
0.5399796224116284,0.6349853125709556,"[0.819145, 0.6569264, 0.43715727, 0.7376858]","[0.8042719, 0.6645707, 0.40256733, 0.71271044]"
0.5074931204691863,0.6425133602146145,"[0.82363, 0.66584253, 0.46349207, 0.7439618]","[0.8120651, 0.66018707, 0.42906848, 0.7153049]"
0.47582510704968634,0.6293469960694515,"[0.82810104, 0.6747576, 0.48722944, 0.75025976]","[0.8118788, 0.66554546, 0.43464646, 0.71949494]"
0.44304002385108215,0.6876751507339253,"[0.8323967, 0.6839053, 0.5102453, 0.7565368]","[0.8152678, 0.67013466, 0.43360883, 0.71603614]"
0.41411351717260575,0.6828829952832143,"[0.8367797, 0.69272244, 0.53186625, 0.76272124]","[0.8158586, 0.67210716, 0.44419193, 0.7160522]"
0.3867317944907134,0.6734912737924411,"[0.8409246, 0.70131093, 0.55151516, 0.7687679]","[0.81654495, 0.6726392, 0.46146077, 0.718705]"
0.35844045083793385,0.721721122016751,"[0.8450464, 0.70965576, 0.5699959, 0.7748104]","[0.81708753, 0.6688288, 0.47696006, 0.72294855]"
0.33330050047341647,0.7346915191167589,"[0.84896874, 0.71781623, 0.58757097, 0.78079367]","[0.8198519, 0.6705612, 0.48329967, 0.7223591]"
0.30995712321199476,0.7410044931263622,"[0.85281473, 0.7256854, 0.6032648, 0.78659993]","[0.81802607, 0.67506105, 0.49234006, 0.72243476]"
0.28956253466184984,0.7532551513623661,"[0.85664374, 0.73330194, 0.6181564, 0.79218996]","[0.8171519, 0.67777777, 0.5041592, 0.7227055]"
0.27047388317073995,0.7904068149155092,"[0.86024773, 0.7406734, 0.63229114, 0.7976086]","[0.81682, 0.68075943, 0.5074448, 0.7232903]"
0.2540233925357794,0.91775307529415,"[0.8638156, 0.7477922, 0.6452647, 0.80282754]","[0.81916887, 0.6835602, 0.5117313, 0.716555]"
0.23770300890847548,0.8403050681631792,"[0.8671984, 0.7545678, 0.6572944, 0.8078449]","[0.8191683, 0.6847542, 0.5161953, 0.7192542]"
0.22226742894402884,0.8770807074891601,"[0.8704851, 0.7611242, 0.66848075, 0.8127458]","[0.8184095, 0.68334454, 0.5224627, 0.7232419]"
0.2097608416746566,0.9306753304443316,"[0.87358654, 0.7673547, 0.679247, 0.8173757]","[0.8209091, 0.6844827, 0.5239822, 0.7204117]"
0.1997914477208469,0.8808336586091483,"[0.87663656, 0.77320534, 0.6890269, 0.8218477]","[0.82045823, 0.68510467, 0.5275948, 0.72297907]"
0.18878747149525138,0.9664038868829391,"[0.8795268, 0.7788787, 0.6981722, 0.82617]","[0.82126963, 0.68739617, 0.525491, 0.7210971]"
0.17820012426829993,0.9461878570336447,"[0.88230246, 0.7842898, 0.7069322, 0.8303013]","[0.8215825, 0.68805116, 0.52802694, 0.7226128]"
0.16838683505892968,0.9973714022461617,"[0.8849989, 0.7894084, 0.7150683, 0.83424634]","[0.82083267, 0.68955195, 0.533683, 0.72342527]"
0.16017956028717115,0.9538051404312636,"[0.8875597, 0.7943814, 0.7228101, 0.8380589]","[0.8220464, 0.6897643, 0.5375608, 0.7241526]"
0.1516586319599739,0.977964765971489,"[0.890033, 0.79910433, 0.72999895, 0.84173214]","[0.82318544, 0.6898389, 0.539899, 0.7255014]"
0.14625522381514267,1.0120298701226504,"[0.89238745, 0.8036493, 0.7369259, 0.84523463]","[0.82375365, 0.69161266, 0.5415186, 0.72480434]"
0.14037032139764713,1.0513355329870928,"[0.8946426, 0.8080005, 0.74340546, 0.8485546]","[0.82277215, 0.69038945, 0.54530865, 0.7276184]"
